time,Ax,Ay,Az,Gx,Gy,Gz
1711476183.24,-3.142,6.491,7.916,-0.374,-0.092,-0.107
1711476183.347,-3.207,6.5,8.05,-0.351,-0.092,-0.099
1711476183.452,-3.116,6.426,8.019,-0.389,-0.076,-0.099
1711476183.558,-3.092,6.443,7.995,-0.336,-0.099,-0.061
1711476183.664,-3.114,6.481,8.004,-0.321,-0.092,-0.099
1711476183.769,-3.082,6.445,8.035,-0.366,-0.092,-0.084
1711476183.875,-3.128,6.519,7.899,-0.374,-0.084,-0.115
1711476183.981,-3.092,6.476,7.825,-0.359,-0.115,-0.137
1711476184.087,-3.092,6.407,8.028,-0.382,-0.069,-0.092
1711476184.192,-3.109,6.39,8.11,-0.313,-0.092,-0.076
1711476184.298,-3.128,6.421,7.99,-0.389,-0.084,-0.107
1711476184.404,-3.092,6.481,8.004,-0.389,-0.076,-0.122
1711476184.511,-3.104,6.44,7.877,-0.267,-0.076,-0.069
1711476184.616,-3.111,6.44,7.968,-0.389,-0.061,-0.084
1711476184.722,-3.056,6.462,7.968,-0.336,-0.084,-0.092
1711476184.827,-3.102,6.584,7.954,-0.366,-0.092,-0.107
1711476184.933,-3.054,6.457,7.999,-0.366,-0.099,-0.107
1711476185.038,-3.049,6.555,8.026,-0.374,-0.092,-0.092
1711476185.144,-3.135,6.423,8.014,-0.389,-0.084,-0.107
1711476185.25,-3.066,6.414,7.875,-0.405,-0.084,-0.084
1711476185.355,-3.114,6.498,7.951,-0.359,-0.092,-0.107
1711476185.461,-3.068,6.292,7.973,-0.412,-0.053,-0.092
1711476185.566,-3.219,6.488,7.949,-0.481,-0.069,-0.115
1711476185.672,-3.075,6.512,7.973,-0.435,-0.061,-0.115
1711476185.777,-3.099,6.452,8.062,-0.878,-0.008,-0.176
1711476185.883,-3.082,6.409,8.064,-0.328,-0.092,-0.084
1711476185.989,-3.104,6.467,8.026,-0.473,-0.061,-0.137
1711476186.095,-3.13,6.589,8.059,-0.397,-0.099,-0.115
1711476186.2,-3.07,6.45,7.985,-0.435,-0.069,-0.122
1711476186.306,-3.114,6.5,7.975,-0.275,-0.092,-0.015
1711476186.412,-3.106,6.311,8.076,-0.267,-0.115,-0.099
1711476186.518,-3.137,6.495,7.825,-0.359,-0.084,-0.115
1711476186.624,-3.118,6.455,8.054,-0.427,-0.084,-0.115
1711476186.729,-3.073,6.443,7.944,-0.344,-0.084,-0.115
1711476186.835,-3.068,6.459,8.002,-0.321,-0.115,-0.099
1711476186.941,-3.123,6.481,7.997,-0.42,-0.046,-0.099
1711476187.047,-3.161,6.455,7.978,-0.405,-0.092,-0.107
1711476187.153,-3.044,6.438,8.011,-0.374,-0.061,-0.092
1711476187.259,-3.073,6.426,8.021,-0.344,-0.107,-0.107
1711476187.365,-3.114,6.399,7.961,-0.374,-0.076,-0.115
1711476187.471,-3.066,6.51,8.033,-0.359,-0.076,-0.092
1711476187.578,-3.102,6.481,8.131,-0.244,-0.115,-0.069
1711476187.684,-3.078,6.483,7.925,-0.145,-0.153,-0.084
1711476187.789,-3.068,6.479,7.904,-0.374,-0.069,-0.137
1711476187.895,-3.109,6.574,8.007,-0.595,0.0,-0.084
1711476188.001,-3.08,6.431,8.011,-0.466,-0.069,-0.099
1711476188.107,-3.102,6.471,7.999,-0.557,-0.046,-0.084
1711476188.212,-3.104,6.459,8.004,-0.321,-0.092,-0.076
1711476188.318,-3.106,6.586,8.227,-0.519,-0.046,-0.107
1711476188.424,-3.097,6.376,7.949,-0.359,-0.069,-0.084
1711476188.53,-3.042,6.498,7.966,-0.321,-0.099,-0.115
1711476188.636,-3.121,6.426,7.93,-0.046,-0.145,-0.046
1711476188.741,-3.102,6.486,8.117,-0.328,-0.084,-0.115
1711476188.847,-2.96,6.524,7.985,-0.374,-0.061,-0.107
1711476188.953,-3.099,6.474,7.999,-0.45,-0.069,-0.122
1711476189.059,-3.082,6.447,7.966,-0.397,-0.084,-0.099
1711476189.165,-3.092,6.452,8.052,-0.389,-0.084,-0.115
1711476189.271,-3.106,6.399,7.992,-0.328,-0.092,-0.092
1711476189.377,-3.147,6.421,7.932,-0.275,-0.084,-0.084
1711476189.483,-3.087,6.45,8.119,-0.351,-0.069,-0.099
