time,Ax,Ay,Az,Gx,Gy,Gz
1711539052.844,0.0,0.0,0.0,0.0,0.0,0.489
1711539052.95,8.347,-6.855,2.551,-0.015,0.244,0.198
1711539053.056,8.373,-6.843,2.572,-1.954,0.252,0.16
1711539053.162,8.402,-6.833,2.498,-0.038,0.229,0.168
1711539053.269,8.356,-6.898,2.548,1.947,0.229,0.176
1711539053.375,8.371,-6.771,2.548,-0.031,0.221,0.16
1711539053.48,8.385,-6.823,2.481,-0.008,0.221,0.176
1711539053.586,8.366,-6.833,2.414,0.0,0.214,0.206
1711539053.691,8.327,-6.804,2.338,-0.038,0.237,0.153
1711539053.797,8.359,-6.835,2.436,-0.015,0.221,0.176
1711539053.902,8.373,-6.843,2.546,0.023,0.229,0.176
1711539054.008,8.347,-6.819,2.438,0.031,0.221,0.176
1711539054.114,8.361,-6.862,2.364,0.038,0.252,0.168
1711539054.219,8.339,-6.871,2.316,0.023,0.252,0.183
1711539054.325,8.38,-6.826,2.424,-1.947,0.244,0.176
1711539054.43,8.327,-7.032,2.354,0.023,0.244,0.153
1711539054.536,8.407,-6.919,2.5,0.015,0.29,0.191
1711539054.641,8.404,-6.869,2.357,0.038,0.229,0.168
1711539054.746,8.368,-6.85,2.426,0.023,0.237,0.168
1711539054.852,8.395,-6.831,2.383,0.023,0.244,0.191
1711539054.958,8.385,-6.816,2.4,0.031,0.244,0.191
1711539055.064,8.392,-6.898,2.402,0.023,0.214,0.153
1711539055.17,8.387,-6.867,2.393,0.031,0.214,0.176
1711539055.275,8.361,-6.89,2.405,0.008,0.244,0.183
1711539055.381,8.282,-6.857,2.338,0.038,0.206,0.16
1711539055.487,8.409,-6.84,2.357,0.031,0.221,0.183
1711539055.593,8.418,-6.874,2.347,0.031,0.252,0.198
1711539055.698,8.39,-6.919,2.457,0.038,0.206,0.176
1711539056.364,8.464,-6.878,2.275,0.008,0.275,0.16
1711539056.469,8.347,-6.859,2.409,0.0,0.237,0.183
1711539056.575,8.409,-6.874,2.508,0.023,0.229,0.153
1711539056.68,8.363,-6.84,2.33,0.031,0.229,0.145
1711539056.786,8.327,-6.871,2.366,0.038,0.214,0.183
1711539056.891,8.397,-6.919,2.345,0.023,0.275,0.16
1711539056.997,8.39,-6.847,2.395,0.038,0.252,0.168
1711539057.103,8.438,-6.814,2.369,0.023,0.214,0.168
